date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:00:16	7/7	---M--	200	added ('OK')	application/javascript	date:Fri,%2016%20Feb%202024%2008:08:30%20GMT	https://kits1.themescamp.com/archo/wp-content/plugins/template-kit-export/public/assets/js/template-kit-export-public.min.js?ver=1.0.21	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/wp-content/plugins/template-kit-export/public/assets/js/template-kit-export-public.min365c.js	(from https://kits1.themescamp.com/archo/)
08:00:16	15073/15073	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2021%20Jun%202024%2009:04:58%20GMT	https://kits1.themescamp.com/archo/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.22.1	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min4d52.js	(from https://kits1.themescamp.com/archo/)
08:00:17	190456/190456	---MCZ	200	added ('OK')	application/json	date:Mon,%2010%20Mar%202025%2004:59:17%20GMT	https://kits1.themescamp.com/archo/wp-json/	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/wp-json/index.html	(from https://kits1.themescamp.com/archo/)
08:00:17	90035/90035	---MCZ	200	added ('OK')	application/json	date:Mon,%2010%20Mar%202025%2004:59:17%20GMT	https://kits1.themescamp.com/archo/wp-json/wp/v2/pages/3130	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/wp-json/wp/v2/pages/3130.json	(from https://kits1.themescamp.com/archo/)
08:00:18	2139/2139	---MCZ	200	added ('OK')	application/json	date:Mon,%2010%20Mar%202025%2004:59:18%20GMT	https://kits1.themescamp.com/archo/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fkits1.themescamp.com%2Farcho%2F	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/wp-json/oembed/1.0/embedbfae.json	(from https://kits1.themescamp.com/archo/)
08:00:19	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2010%20Mar%202025%2004:59:18%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/hotels/www.googletagmanager.com/gtm.1f5445.delayed	(from https://kits1.themescamp.com/archo/)
08:00:19	2294/2294	---MCZ	200	added ('OK')	text/xml	date:Mon,%2010%20Mar%202025%2004:59:18%20GMT	https://kits1.themescamp.com/archo/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fkits1.themescamp.com%2Farcho%2F&format=xml	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/wp-json/oembed/1.0/embed1b2c	(from https://kits1.themescamp.com/archo/)
08:00:19	5716/5716	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Feb%202024%2008:08:12%20GMT	https://kits1.themescamp.com/archo/wp-content/uploads/sites/2/2022/03/fav.png	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/wp-content/uploads/sites/2/2022/03/fav.png	(from https://kits1.themescamp.com/archo/)
08:00:19	798/798	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Feb%202024%2008:08:12%20GMT	https://kits1.themescamp.com/archo/wp-content/uploads/sites/2/2020/06/logo-light-1.png	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/wp-content/uploads/sites/2/2020/06/logo-light-1.png	(from https://kits1.themescamp.com/archo/)
08:00:20	44557/44557	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Feb%202024%2008:08:12%20GMT	https://kits1.themescamp.com/archo/wp-content/uploads/sites/2/2022/07/Top-badg-3.png	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/wp-content/uploads/sites/2/2022/07/Top-badg-3.png	(from https://kits1.themescamp.com/archo/)
08:00:20	123806/123806	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Mar%202025%2004:59:20%20GMT	https://kits1.themescamp.com/archo/home-01/	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/home-01/index.html	(from https://kits1.themescamp.com/archo/)
08:00:21	142601/142601	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Mar%202025%2004:59:20%20GMT	https://kits1.themescamp.com/archo/home-02/	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/home-02/index.html	(from https://kits1.themescamp.com/archo/)
08:00:22	142248/142248	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2008:08:12%20GMT	https://kits1.themescamp.com/archo/wp-content/uploads/sites/2/2022/07/h33.jpg	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/wp-content/uploads/sites/2/2022/07/h33.jpg	(from https://kits1.themescamp.com/archo/)
08:00:22	66136/66136	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Mar%202025%2004:59:21%20GMT	https://kits1.themescamp.com/archo/template-kit/archo-showcase-parallax-block/	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/template-kit/archo-showcase-parallax-block/index.html	(from https://kits1.themescamp.com/archo/)
08:00:22	128857/128857	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Mar%202025%2004:59:21%20GMT	https://kits1.themescamp.com/archo/home-4/	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/home-4/index.html	(from https://kits1.themescamp.com/archo/)
08:00:22	125512/125512	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Mar%202025%2004:59:21%20GMT	https://kits1.themescamp.com/archo/home-3/	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/home-3/index.html	(from https://kits1.themescamp.com/archo/)
08:00:22	141355/141355	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2008:08:12%20GMT	https://kits1.themescamp.com/archo/wp-content/uploads/sites/2/2023/05/h22-.jpg	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/wp-content/uploads/sites/2/2023/05/h22-.jpg	(from https://kits1.themescamp.com/archo/)
08:00:23	96511/96511	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Mar%202025%2004:59:22%20GMT	https://kits1.themescamp.com/archo/about/	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/about/index.html	(from https://kits1.themescamp.com/archo/)
08:00:23	98403/98403	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Mar%202025%2004:59:23%20GMT	https://kits1.themescamp.com/archo/services/	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/services/index.html	(from https://kits1.themescamp.com/archo/)
08:00:23	112768/112768	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2008:08:13%20GMT	https://kits1.themescamp.com/archo/wp-content/uploads/sites/2/2023/05/ps1.jpg	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/wp-content/uploads/sites/2/2023/05/ps1.jpg	(from https://kits1.themescamp.com/archo/)
08:00:23	151187/151187	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2008:08:12%20GMT	https://kits1.themescamp.com/archo/wp-content/uploads/sites/2/2022/07/h22.jpg	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/wp-content/uploads/sites/2/2022/07/h22.jpg	(from https://kits1.themescamp.com/archo/)
08:00:24	90954/90954	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Mar%202025%2004:59:23%20GMT	https://kits1.themescamp.com/archo/faq/	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/faq/index.html	(from https://kits1.themescamp.com/archo/)
08:00:24	164485/164485	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2008:08:12%20GMT	https://kits1.themescamp.com/archo/wp-content/uploads/sites/2/2022/07/port11.jpg	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/wp-content/uploads/sites/2/2022/07/port11.jpg	(from https://kits1.themescamp.com/archo/)
08:00:24	127681/127681	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2008:08:12%20GMT	https://kits1.themescamp.com/archo/wp-content/uploads/sites/2/2022/07/port22.jpg	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/wp-content/uploads/sites/2/2022/07/port22.jpg	(from https://kits1.themescamp.com/archo/)
08:00:24	103184/103184	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Mar%202025%2004:59:23%20GMT	https://kits1.themescamp.com/archo/team/	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/team/index.html	(from https://kits1.themescamp.com/archo/)
08:00:24	135168/135168	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2008:08:12%20GMT	https://kits1.themescamp.com/archo/wp-content/uploads/sites/2/2022/07/about11.jpg	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/wp-content/uploads/sites/2/2022/07/about11.jpg	(from https://kits1.themescamp.com/archo/)
08:00:25	88416/88416	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Mar%202025%2004:59:24%20GMT	https://kits1.themescamp.com/archo/coming-soon/	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/coming-soon/index.html	(from https://kits1.themescamp.com/archo/)
08:00:25	154835/154835	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2008:08:12%20GMT	https://kits1.themescamp.com/archo/wp-content/uploads/sites/2/2022/07/serv11.jpg	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/wp-content/uploads/sites/2/2022/07/serv11.jpg	(from https://kits1.themescamp.com/archo/)
08:00:25	114880/114880	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2008:08:12%20GMT	https://kits1.themescamp.com/archo/wp-content/uploads/sites/2/2022/11/minimal.jpg	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/wp-content/uploads/sites/2/2022/11/minimal.jpg	(from https://kits1.themescamp.com/archo/)
08:00:25	94134/94134	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Mar%202025%2004:59:25%20GMT	https://kits1.themescamp.com/archo/pricing/	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/pricing/index.html	(from https://kits1.themescamp.com/archo/)
08:00:25	111884/111884	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202024%2008:08:12%20GMT	https://kits1.themescamp.com/archo/wp-content/uploads/sites/2/2022/11/soon.jpg	C:/My%20Web%20Sites/hotels/kits1.themescamp.com/archo/wp-content/uploads/sites/2/2022/11/soon.jpg	(from https://kits1.themescamp.com/archo/)
